country,state,city,station,last_update,pollutant_id,latitude,longitude,pollutant_min,pollutant_max,pollutant_avg,pollution_avg
India,Rajasthan,Jaisalmer,"Sadar Bazar, Jaisalmer - RSPCB",01-06-2026 17:00:00,NO2,26.912329,70.909168,5.0,37.0,12.0,19.4
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",01-06-2026 17:00:00,NO2,23.163798,72.677768,15.0,29.0,20.0,18.86
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",01-06-2026 17:00:00,NH3,23.210494,77.425409,5.0,6.0,6.0,5.91
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",01-06-2026 17:00:00,PM2.5,25.5626095,84.663264,7.0,38.0,22.0,19.18
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",01-06-2026 17:00:00,OZONE,26.259242,78.216432,30.0,153.0,72.0,104.67
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",01-06-2026 17:00:00,NO2,26.9164092,75.7994901,49.0,179.0,97.0,95.48
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB",01-06-2026 17:00:00,PM10,16.316553,80.413302,53.0,72.0,62.0,63.46
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",01-06-2026 17:00:00,NO2,26.766433,80.927299,12.0,12.0,12.0,11.49
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB",01-06-2026 17:00:00,NO2,23.697936,86.944395,10.0,24.0,16.0,16.52
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",01-06-2026 17:00:00,CO,25.697189,85.2459,10.0,34.0,20.0,18.3
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB",01-06-2026 17:00:00,CO,24.5886166,73.6321397,8.0,46.0,21.0,19.73
India,Delhi,Delhi,"DTU, Delhi - CPCB",01-06-2026 17:00:00,NH3,28.7500499,77.1112615,3.0,11.0,6.0,5.75
